sea
land
food
beef
meat
ham
fish
egg
noodle
rice
soup
bread
butter
cheese
hamburger
pizza
hot dog
sandwich
salad
pie
cake
candy
chocolate
ice cream
vegetable
tomato
fruit
apple
banana
milk
tea
Coke
juice
salt
sugar
hot
burn
bowl
glass
cup
spoon
chopsticks
fork
knife
breakfast
lunch
dinner
meal
eat
drink
cook
clothes
cap
hat
glove
belt
shirt
coat
jacket
sweater
skirt
dress
uniform
pants
shoe
wear
change
wash
live
city
house
floor
apartment
wall
window
door
living room
bedroom
bed
bathroom
dining room
kitchen
chair
sofa
desk
table
lamp
carry
like
laugh
smile
angry
happy
exciting
wonderful
bright
love
kiss
miss
agree
hate
sad
sorry
cry
afraid
worry
shy
polite
cold
funny
China
America
stay
thank
map
beautiful
enough
famous
check
camera
restaurant
hotel
pay
beach
hill
mountain
lake
river
island
animal
elephant
lion
tiger
bear
monkey
mouse
cat
dog
horse
pig
sheep
goat
cow
rabbit
bird
chicken
bee
fly
snake
tree
grass
flower
rose
noise
catch
water
meet
hope
help
excuse
idea
ball
speak
call
number
meeting
visit
plan
free
from
picnic
borrow
lend
keep
friend
telephone
ring
line
phone
video
e-mail
Internet
copy
letter
piano
band
play
blow
club
sing
dance
television
singer
zoo
park
party
a
able
about
after
again
ago
all
almost
already
also
American
an
and
another
answer
any
anything
arrive
as
ask
away
bag
basket
basketball
because
before
bell
bicycle
birthday
body
both
bottle
bridge
business
busy
but
by
card
care
classmate
clean
clock
close
come
cost
country
cover
cross
cut
dad
dangerous
dark
date
dear
